词目,tw,ch,en
一方,協從一方,协从一方,secondary party
,訴訟以外一方,诉讼以外一方,outside party
一同,同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
一系列,一系列相關的典據,一系列相关的典据,line of authorities
,一系列相關的案例,一系列相关的案例,line of authorities
一致,一致行動,一致行动,acting in concert
一般,一般及特別信託,一般及特别信讬,general and specific trust
,一般合理及誠實人的客觀標準,一般合理及诚实人的客观标准,the ordinary objective standards of reasonable and honest people
,一般法律原則,一般法律原则,general principles of law
,一般的審慎旁觀者,一般的审慎旁观者,ordinary prudent bystander
,一般審慎及盡力的人,一般审慎及尽力的人,ordinarily prudent and diligent man
,[案件的]一般爭論點,[案件的]一般争论点,general issue
一贯,先前一貫陳述,先前一贯陈述,previous consistent statement
一连串,單獨一項作為或一連串作為,单独一项作为或一连串作为,a single act or series of acts
一开始,一開始,一开始,ab initio
一罪两审,一罪兩審,一罪两审,double jeopardy
一览表,案例一覽表,案例一览表,list of authorities
人事,人事保釋,人事保释,surety
,人事擔保,人事担保,surety
人员,公職人員行為失當,公职人员行为失当,misconduct in public office
,司法人員,司法人员,judicial officer
,司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
,拘捕人員,拘捕人员,arresting officer
,警誡人員,警诫人员,cautioning officer
人选,反對陪審員人選,反对陪审员人选,challenge of jurors
入屋犯法,多次犯入屋犯法罪,多次犯入屋犯法罪,multiple burglaries
,進入住宅犯入屋犯法罪,进入住宅犯入屋犯法罪,domestic burglary
,嚴重入屋犯法罪,严重入屋犯法罪,aggravated burglary
入院,入院令,入院令,hospital order
入院令,入院令,入院令,hospital order
入罪,免使自己入罪的原則,免使自己入罪的原则,principle against self-incrimination
,免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
,追溯入罪,追溯入罪,retrospective incrimination
,會導致入罪的證據,会导致入罪的证据,incriminating evidence
,導致入罪部分,导致入罪部分,incriminating part
,導致自己……入罪,导致自己……入罪,incrimination of self
入境事务处,入境事務處的旅客嫌疑人名單,入境事务处的旅客嫌疑人名单,Immigration Watch List
三合会,三合會社團的集會,三合会社团的集会,meeting of a triad society
,關於……三合會社團的……字據,关于……三合会社团的……字据,writings ... relating to ... triad society
下级,下級法庭,下级法庭,court below
,較下級法院,较下级法院,lower court
下层,下層法院,下层法院,lower court
上诉,上訴……合併,上诉……合并,appeals ... consolidated
,上訴文件冊,上诉文件册,appeal bundles
,上訴宗卷,上诉宗卷,appeal bundle
,上訴的訟費,上诉的讼费,costs on appeal
,上訴得直,上诉得直,appeal allowed
,上訴理據,上诉理据,merits of appeal
,上訴許可申請,上诉许可申请,application for leave to appeal
,上訴通知,上诉通知,notice of appeal
,上訴通知書,上诉通知书,notice of appeal
,上訴屬當然權利,上诉属当然权利,appeal as of right
,不服判刑的上訴,不服判刑的上诉,appeal against sentence
,不服命令的上訴,不服命令的上诉,appeal against ... order
,不服定罪的上訴,不服定罪的上诉,appeal against conviction
,不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
,中級上訴,中级上诉,intermediate appeal
,中期上訴,中期上诉,intermediate appeal
,以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
,申請保釋等候上訴,申请保释等候上诉,application for bail pending appeal
,申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
,在上訴裁決前所服刑期作廢,在上诉裁决前所服刑期作废,loss of time
,有權提出……上訴,有权提出……上诉,appeal ... competent
,完備上訴理由,完备上诉理由,perfected grounds of appeal
,完備上訴理由書,完备上诉理由书,perfected grounds of appeal
,沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
,放棄上訴,放弃上诉,abandonment of appeal
,放棄上訴通知,放弃上诉通知,notice of abandonment
,准予上訴,准予上诉,leave to appeal
,缺乏理據的上訴,缺乏理据的上诉,unmeritorious appeal
,針對……命令提出上訴,针对……命令提出上诉,appeal against ... order
,針對刑罰的上訴,针对刑罚的上诉,appeal against sentence
,針對定罪的上訴,针对定罪的上诉,appeal against conviction
,越級上訴,越级上诉,leapfrog appeal
,進行上訴,进行上诉,prosecute ... appeal
,逾期上訴,逾期上诉,appeal out of time
,駁回……上訴,驳回……上诉,dismiss an appeal
,審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
,審理上訴的法官,审理上诉的法官,appellate judge
上诉人,上訴人,上诉人,appellant
上诉法庭,把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
,把法律問題提交上訴法庭裁決,把法律问题提交上诉法庭裁决,reserve question of law for consideration of Court of Appeal
,保留法律問題待上訴法庭考慮,保留法律问题待上诉法庭考虑,reserve question of law for consideration of Court of Appeal
口供,招認口供,招认口供,confession statement
,查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
,混合口供,混合口供,mixed statement
,補錄口供,补录口供,post-recorded statement
,警誡口供,警诫口供,cautioned statement
口述,口述判詞,口述判词,oral judgment
,口述證據,口述证据,viva voce evidence
口头,口頭判詞,口头判词,oral judgment
,口頭承認,口头承认,verbal admission
,口頭招認,口头招认,oral confession
,口頭陳述,口头陈述,oral statement
,口頭證據,口头证据,parol evidence
,以口頭方式……提供證據,以口头方式……提供证据,give evidence ... viva voce
,直接口頭證據,直接口头证据,direct oral evidence
大赦,大赦,大赦,general pardon
大纲,陳詞大綱,陈词大纲,skeleton submission
,論點大綱,论点大纲,skeleton arguments
女童,串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
,與21歲以下女童作出肛交,与21岁以下女童作出肛交,buggery with girl under 21
小组,小組認人,小组认人,group identification
,判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
已过,檢控時限已過,检控时限已过,time-barred
干犯,干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
,技術上干犯罪行,技术上干犯罪行,technical offence
干预,干預裁判官在這方面所作的裁斷,干预裁判官在这方面所作的裁断,interfere with the findings of the magistrate on this point
,干擾或干預,干扰或干预,tampered or interfered with
,強行干預訴訟,强行干预诉讼,maintenance
干扰,干擾或干預,干扰或干预,tampered or interfered with
不一致,不一致的證供,不一致的证供,inconsistent testimony
,不一致的證據,不一致的证据,inconsistent evidence
不小心,不小心騎踏單車,不小心骑踏单车,careless cycling
不公平,不公平損害呈請,不公平损害呈请,unfair prejudice petition
不令人满意,並不穩妥或並不令人滿意,并不稳妥或并不令人满意,unsafe or unsatisfactory
不可,不可被強迫作證,不可被强迫作证,not compellable to give evidence
不可抗拒,不可抗拒之推論,不可抗拒之推论,irresistible inference
不可信,不可信的辯護理由,不可信的辩护理由,incredible defence
,使……不可信,使……不可信,discrediting
不可能,固有的不可能性,固有的不可能性,inherent improbability
不可接纳,不可接納為證據,不可接纳为证据,inadmissible in evidence
不可推翻,不可推翻……的推定,不可推翻……的推定,presumption ... conclusive
,不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
,不可推翻的推論,不可推翻的推论,irrebuttable inference
不用,不用的資料,不用的资料,unused material
不同,不同的罪行,不同的罪行,discrete offence
,個別及不同的罪行,个别及不同的罪行,separate and distinct offence
不合情理,不合情理的解釋,不合情理的解释,implausible account
不在,不在犯罪現場,不在犯罪现场,alibi
,不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
,不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
,不在羈留中,不在羁留中,at large
,以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
